text,label,Response,Predicted
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",CG,original review.,OR
"Alright for the price,but was a little disappointed with the quality of the product.",CG,original review.,OR
"Great quality, beautiful color.  We have had the same one for a few months now and love",CG,original.,OR
I put paper in one corner of the cabinet and put a piece of paper in the other corner.,CG,original review.,OR
Great stickers but a little small. The only reason I gave it 4 stars is because the one in,CG,original,OR
Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,CG,original review.,OR
Perfect. They do exactly what I need them to do. I will keep them for a long time,CG,original,OR
Love this movie & the time it took to finish. I will keep my review for the next time,CG,original review.,OR
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",CG,original review.,OR
Got these for the third time.  I have a small dog and my son loves to throw them,CG,original.,OR
Excellent product and a much better quality than the one you get at Walmart for $50.,CG,original review.,OR
"These are just perfect, exactly what I was looking for.",OR,original review,OR
Such a great purchase can't beat it for the price,OR,original review.,OR
What can you say--- cheap and it works as intended.,OR,original review.,OR
"These are so nice, sturdy, like the color choices too.",OR,original review.,OR
It is nice bowl and have had a fast shipping!,OR,original review.,OR
Great cup. Will last forever. Keeps things cool / warm.,OR,original review.,OR
"Love them, just thought they would be a bit bigger!",OR,original review.,OR
Excellent quality product. Perfect for my ccozinha.,OR,original review.,OR
This fan is really pretty and I actually use it.,OR,original.,OR
"Super rough, not soft wash cloths, more like bar towels",OR,original review.,OR
Like this little guy. Use it often. He is small.,OR,original,OR
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR,original review.,OR
Does not do a very good job; difficult to use.,OR,original review.,OR
frame was beautifully crafted and looks great with my picture.,OR,original review.,OR
My hot cocoa is finally perfect! This product is fabulous,OR,original review.,OR
i bought this for a friend and he loves it.,OR,original review.,OR
Very soft and great quality for such a low price!,OR,original review.,OR
Purchased as a Christmas gift.  She will love it.,OR,original review.,OR
"accurate description, works great, came on time, i'm very happy!",OR,original review.,OR
Use it in my Duvet cover. Fluffy and perfect fit!,OR,original,OR
One of the softest blankets ever. So nice and cozy.,OR,original review.,OR
"Smells great, and the fine mist dries quickly. My favorite.",OR,original review.,OR
Exactly what I was expecting. perfect curtains for my bedroom.,OR,original review.,OR
Just what I wanted to hang my pants and skirts.,OR,original review.,OR
"It's kind of small, we were looking for something larger.",OR,original review.,OR
A little pricey for what it is.,OR,original review.,OR
works great & the charge kept up all day long,OR,original review.,OR
This is a nice quality frame at a good price,OR,original review.,OR
"Does the job, but nothing special. Not hard to install.",OR,original.,OR
Item as described and arrived in a timely manner.,OR,original review.,OR
Bought 2 and sent one back because it didn't work,OR,original review.,OR
"Made well holds all my make brushes, pencils, mascara etc.",OR,original.,OR
"sheds all over, would not buy it ever again. blanket.",OR,original review.,OR
"Works great, it's Pyrex, I'd expect nothing less from them.",OR,original review.,OR
"we like this little opener, real easy on my hands.",OR,original review.,OR
Perfect. Love everything about them. Look great in my kitchen.,OR,original review,OR
air tight and it works great glad i got it,OR,original review.,OR
Very cute and good quality fabric. Zippers worked well too.,OR,original review.,OR
These were great to send my grandkids their Halloween treats,OR,original review.,OR
Save a ton by using these instead of paper towels!,OR,original review.,OR
These are so weak. They barely bring in any air.,OR,original,OR
"Great set of glasses!  Good quality, comfortable to handle.",OR,original review.,OR
It feels cool to the touch but is super hard.,OR,original review.,OR
"So cute, made well my grand daughter will love this.",OR,computer-generated review.,CG
Works as expected for connecting CCTV power supply to cameras.,OR,original review.,OR
Very Soft ! Definitely better quality than I was expecting.,OR,original review.,OR
Nice and contemporary. Great for the price. Easy to assemble.,OR,original review.,OR
Super cute and appears to be great quality! Highly recommend!,OR,original review.,OR
These are really cool actually.  My boyfriend loved them.,OR,original review.,OR
Bought as a gift for a cousin.  Very nice.,OR,original review.,OR
Stopped working after one use still waiting on my refund,OR,original review.,OR
cute and reasonably price. I am happy with my purchase.,OR,computer-generated review.,CG
Well received and comfortable. Gave as gift to dialysis patient.,OR,original review.,OR
"do not expected to be so poor on quality ,",OR,original,OR
Easy to review. The kid DDS love them!  Thanks,OR,original review.,OR
"Really ruff under your feet, it feels very sturdy. I will keep my feet in the chair",CG,original review.,OR
Order to place special photos on the wall.  We've had it for a couple of weeks and,CG,original review.,OR
"baby like it! Thermal insulation helps to keep the food warmer.

The thermal insulation helps keep",CG,original,OR
"I like it, just wish it had more wide opening. I also love that it's been made",CG,original review.,OR
I love pyrex quality and this set is the best. I will be purchasing more in the future,CG,original,OR
"Perfect for additional storage and convenience. The only problem is that it's not really a vacuum, but",CG,original review.,OR
These smell great! I'm pretty happy with the quality and quality of this product!This is a,CG,original review.,OR
The turquoise is almost neon. It's a very bright pink.,CG,original,OR
"Easy to hold, and the material is nice and thick. I will keep my shelves in order and",CG,original review.,OR
"Works great for chocolate, yogurt, or any other fruit. I also love that it's removable and",CG,original review.,OR
Love it. I think I will buy more.Very nice set of knives!  I have one,CG,original,OR
Nice small ottoman that does what it should.  Not too big or too small. ,CG,original.,OR
they look great in my kitchen. The only problem is that it's kind of hard to put the,CG,original review.,OR
Bought this as a Father's Day gift and it's just what I needed!  I love,CG,computer-generated review,CG
"Great for winter months, very soft and comfortable.  I've slept on this for about a week",CG,original review.,OR
Nice soft sheets but I find it difficult to put them on a bed that is too warm and doesn,CG,original.,OR
"This is a beautifully made, sturdy, and very comfortable chair.  It is very comfortable and functional",CG,original review.,OR
Need to buy two to go with the wide wooden legs of the bedding. I have one in,CG,original review.,OR
Very nice and sturdy. I use it as a long-term storage container for my small bags of,CG,original review.,OR
"Just as good as original-type containers, the wooden handle is smooth and solid, the handle fits",CG,original review.,OR
"Excellent, the grill looks very nice. The only problem is that it's not really a vacuum,",CG,original,OR
"Nice large, sturdy canvas tote, and it's lightweight and comfortable.",CG,original review.,OR
Good quality and good price. I love the look and feel of this pillow.,CG,original review.,OR
"I ordered the light blue, and it arrived with a very small opening.  The yellow was just",CG,original.,OR
Purchased as a gift!  We have had this one for two months now and it's,CG,original,OR
Very good price for product!I have had this for a few months now and have used it every,CG,original review.,OR
"Gets all the shampoo &/or conditioner you want, and I will keep my shower in",CG,original review,OR
This is a mini-chair! Not a real chair. It is a full chair that is comfortable,CG,original review.,OR
Happy with my purchase.  We have had the same mattress for a few months now and this one,CG,original review.,OR
Works great to keep light on. The only problem is that it's kind of hard to put the,CG,computer-generated review,CG
"Bought for son in college, and he loves it!Very good quality.",CG,original,OR
"Terrible, complete waste of money. Not a whole lot to say.",CG,original review.,OR
It looks very nice in my bedroom and the materials are good.  I have a large one and,CG,original review.,OR
Easy to put together and looks nice and the finish is good.  I have a large one and,CG,computer-generated review.,CG
Just what I expected!!! Made a real difference in the quality of my kitchen!This is a pretty,CG,original,OR
"I'm so glad I got this set, as it is a great deal for the price! ",CG,original review.,OR
"Do the job, are adorable, and have the quality to make them a nice addition to the kitchen",CG,original.,OR
Too much work.  This is an easy way to make a smoothie that is perfect for the,CG,original.,OR
Just okay. Did not fit my containers well. We love this blanket.,CG,original review.,OR
"As far as little plastic, it's fine, but I'm not sure how well it will hold",CG,original.,OR
"So nice, was a gift for a friend. We love this blanket.",CG,original review.,OR
Skinnier than I thought. But it has the quality and design of a lot of other products,CG,original,OR
Very quick shipping and excellent customer service.  Great value for the money!This is a great little,CG,computer-generated review.,CG
"Works great, this design makes it easy to hang and it is a nice size for the size of",CG,original review.,OR
Perfect! Works in your oven and has the right height. I also love that it's removable and,CG,original review,OR
"Service was great, can't wait to try it out!Very good quality.",CG,original review,OR
Arrived quickly and is the perfect size for the long haul.  I also have a large one,CG,original review.,OR
"CHEAP CHINA.  Not a big deal, but it is a little pricey for a",CG,original.,OR
Gave to Mother as a gift. The quality is good but it's not really the best one,CG,original review.,OR
"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional",CG,computer-generated review.,CG
My car smells no different after 3 weeks.  Snake oil.,OR,original review.,OR
This pillow cushion is well constructed and easily washed. Very comfortable.,OR,original review.,OR
Haven't used the big ones but the small ones work great!,OR,original review.,OR
Takes out the mystery of when my meat is finished cooking,OR,original.,OR
Its nice to have an organizer large enough for the utensils.,OR,original review.,OR
Works perfectly.  Easy to put in your art and hang.,OR,original review.,OR
Great little rug!  I'd buy it again in different colors.,OR,original review.,OR
Holds some gift wrap but not longer tubes which is disappointing.,OR,original review.,OR
Belts never last long enough but this seems to work okay.,OR,original review.,OR
"Such a great price, less expensive than renting & great quality",OR,original review.,OR
Good for the price but doesn't soften up much after washing,OR,original review.,OR
I love these sheets!!!!  Goes great with my star quilts,OR,original review.,OR
Great mug - bigger than I thought it would be too!,OR,original review.,OR
I gave this as a gift and my daughter loves hers.,OR,original review.,OR
These are great!  Great space saver in our laundry room!,OR,original review,OR
Very flexible leading edge not quite as helpful under all conditions.,OR,original review.,OR
bottom will not stay on.....zero customer service  do not buy,OR,computer-generated review,CG
"Very nice, elegant glass and does improve the taste of wine.",OR,original review.,OR
excellent product if you are a side sleeper this is perfect,OR,computer-generated review.,CG
When there not in the oven they make great place mats,OR,original review.,OR
love it  it is so cute in my new bathroom,OR,original review,OR
Exactly as pictured! Sturdy and perfect for baking and cooking needs!,OR,original review.,OR
Top notch artistry done on this bust from grand jesters studios.,OR,original.,OR
Love these and I get many comments on this spoon :-),OR,original review.,OR
"Did not expect this table to  be this nice, Thanks",OR,original review.,OR
Great product. Arrived on time and matched my shower curtain perfectly.,OR,original review.,OR
a nice secondary vacuum for small apartments and reaching tight areas,OR,original.,OR
"Good size, good value for money. Looks great in my bar.",OR,computer-generated review.,CG
"Somewhat hard to clean, not as convenient as I had hoped.",OR,computer-generated review.,CG
Works Great with all my battery candles of the same brand.,OR,original review.,OR
Ok pillow kind of too hard and firm not very soft,OR,original review.,OR
"Perfection. Beyond easy to use, minimal effort, fast and perfect froth.",OR,original review.,OR
Love this item. I smile every time I I use it,OR,original.,OR
Fleece blanket is cozy warm. It was exactly what I wanted.,OR,original review.,OR
Noticed today top I'd bubbling up where a glass was set,OR,original review.,OR
Great for weighing in lbs and oz not grams. Fast shipping.,OR,computer-generated review.,CG
These were great. I just had to order a longer size.,OR,original review.,OR
Nice sticks; used these for almost every meal; good for PHO.,OR,original review.,OR
This is one of the best things I have ever bought,OR,original review.,OR
Love it but too small.  Would love in larger size,OR,original review,OR
"Perfect for my candy buffet, and it will certainly be multipurpose.",OR,original review.,OR
Works perfect. Use this for my EV cord in the garage,OR,original review.,OR
Do not waste your money.  It broke after one month.,OR,original review.,OR
"A little tacky, but on the shelf in the spare bathroom.",OR,original,OR
Helps cool my memory mattress a little but not a lot.,OR,original review.,OR
This is perfect. I wish I would have ordered it earlier.,OR,original review,OR
"Excellent packaging, Fast shipping , super quality for the right price.",OR,original review.,OR
Good mix - my favorite is still the Goloka Nag Champa,OR,original.,OR
Just what the bride wanted came out nice with the engraving.,OR,original review.,OR
"The color slightly different than I got,the website pictures looks better.",OR,computer-generated review.,CG
"Really great, soft and warm. I love the feel of this blanket.",CG,original review.,OR
"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now",CG,original,OR
"It's a pint. And it's a pint, too.

It's also a pint",CG,original review.,OR
Perfect for what I needed. I love the look and feel of this pillow.,CG,original,OR
Bought this just to pick up an old mattress and it was a nice piece of equipment. ,CG,original review.,OR
the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.,CG,original review.,OR
"Nice just more trouble then it looks, the finish is a bit thin, not the best quality.",CG,original,OR
Great Seller. Item just like it.Great quality and just what I needed for my kitchen! ,CG,original review.,OR
Very cute. Go with what you have. Not too big or too small.,CG,original review,OR
looks high end and feels nice. The only problem is that it's kind of hard to put,CG,original.,OR
"This mug is VERY nice.  I love the look and feel of it, and the size and",CG,original review.,OR
It works really well it looks great and the materials are good.  I have a large one and,CG,original review.,OR
Ordered this as a gift and it arrived on time. I will keep my review for the next,CG,original,OR
Beautiful calming light. Not sure what it is. We love this blanket.,CG,original.,OR
I like the clock although it has the design flaw which is that it is a little hard to read,CG,original review.,OR
Exactly as advertised. Better quality than the original. We love this blanket.,CG,original review.,OR
Perfect solution to sorting his messes and the tools. I also love that it's removable and can,CG,original review.,OR
"very cute item, going to go with the wide wooden legs for a nice dinner table.",CG,original review,OR
Beautious!  The perfect wall clock.  It's a good size and looks great in my,CG,original review.,OR
Just OK. Am buying a second set.I love these containers.  They work well and look,CG,original review.,OR
Great comforter especially when you are on the go.  I will keep my shelves in order,CG,original review.,OR
"It's nice, fit just right, and the quality is good.

The only reason I",CG,original.,OR
These are very nice mugs.  They are very long and fit nicely on my shelves. ,CG,original review.,OR
Easy to assemble.  Arrived on time and as described.  My husband and I have been,CG,original.,OR
I bought one for my daughter and it was very comfortable.  She also loves the way the bed,CG,computer-generated review.,CG
Wife love s it. Packed it with the pieces and it was perfect.,CG,original review.,OR
I love CrockPots that is perfect for the wide variety of containers.,CG,computer-generated review.,CG
I hang it myself and it looks nice.  I've also used it for a few hours.,CG,original review.,OR
"Using my second set of glasses, I thought they would be a nice addition to the kitchen. ",CG,original.,OR
Big mirror that fits perfectly into my cabinet.  I've also used this for a few years.,CG,original.,OR
Pretty good!  quite a few of the pieces are just too small.  I would recommend them,CG,original review.,OR
This is the second one that I have bought and it is a nice piece of equipment.,CG,original,OR
"Perfect size for hanging wreath, an easy to use and efficient way to make a small wreath",CG,original review.,OR
"I ADORE these bowls, can't wait to make the next batch of cold drinks!This is",CG,original review.,OR
They work great. I also use it as a measuring cup for measuring cupcakes.,CG,original.,OR
Nice fit in the hand.  I love the feel of the fabric.  The colors are just,CG,original.,OR
Great for the price!  We have had this for a few months now and have used it every,CG,original review.,OR
I bought these for bottling wine.  I love them.  I also like the fact that,CG,original.,OR
Good padding and nice quality.  I love the feel of the fabric.  I would buy again,CG,computer-generated review,CG
I love this popcorn machine!  I love the popcorn and I will keep my popcorn in this one,CG,computer-generated review.,CG
Nice but the size of the containers is a little small for a cup of tea.Very pretty.,CG,original review.,OR
Much easier to use Can't go wrong with this product. I will keep my review for the next,CG,original,OR
Great can opener that looks nice on the countertop. I will keep my opener in the drawer.,CG,original review.,OR
"love it, just wish the handle was more wide. Very good quality.",CG,original review,OR
seems to have a defective seal. The only way to fix it is to just throw the container,CG,computer-generated review,CG
works great. But boy do I love the fact that you can't just turn it off and off,CG,original review.,OR
"These are sturdy, snap into place, and are very comfortable.

The only reason I gave",CG,original review.,OR
"These have worked out so well. The only problem is that they are small, and the one I",CG,original.,OR
"Great color and feel, very soft and great price.
I would recommend it.",OR,original review.,OR
Very small but works if you don't have a lot of space.,OR,original review.,OR
Burns the hell out of my hands. Doesn't work at high temps,OR,original review.,OR
Works so fast. replaced the one I broke.,OR,original review.,OR
This shower curtain is beautiful. Nice fabric. Looks great in my bathroom.,OR,original review.,OR
Use it at work with our staff of 5. Holding up well.,OR,original,OR
Great mug! Husband says it is one of his favorites.,OR,original,OR
Worked out great for the small space I had in my closet!,OR,original review.,OR
"Was a gift, so don't know how it is. It is beautiful.",OR,original,OR
"This product actually works. Tried before and after use, definitely a difference.",OR,original,OR
Very happy with the quality of the merchandise and the speedy delivery.,OR,original review.,OR
"American made! Love that, now I just need the matching measuring cups",OR,original review.,OR
Not enough for a whole pie. Would need two or three sets.,OR,original review.,OR
Very impressed with the quality. Its a great size bag and durable.,OR,original review.,OR
Does what it is suppose to do. Hot water in a flash,OR,original review.,OR
"fantastic goblet, can store a lot of fluid like wine and beer!",OR,original review.,OR
Doesn't get warm even after sitting on it for hours.,OR,original review.,OR
I can't believe the low price for such quality!  Love it!,OR,original review.,OR
This is a reorder. Rated before whwn originally purchase.,OR,original review.,OR
Makes a good cup of coffee and takes any of the cups,OR,original review.,OR
I ordered this for my husband...he loves the set...especially the noodle strainer:),OR,original review.,OR
Plastic threads in the socket and the bulbs sent do not fit.,OR,computer-generated review,CG
Nice. haven't totally unpacked it yet. is a gift. Styrofoam all over the place.,OR,original review.,OR
don't last long if you pull it along but otherwise it's ok,OR,original review.,OR
Exactly what I was looking for.  Love that they are clear.,OR,original,OR
These are great toilet brush holders. Sleek design and appear well made,OR,original review.,OR
Excellent service; arrived quickly and as promised. This is a lovely lamp.,OR,original review.,OR
I loved this! Small little cookie cutter - does its job perfectly.,OR,original,OR
"Makes keeping track of shoes easier, up off the floor and visible.",OR,original review.,OR
Wonderful product.  Shipped promptly.  Ordered about ten sets a gifts.,OR,original review.,OR
"very slow toasting, my rye bread becomes rock hard before it's toasted.",OR,original review.,OR
"I do find it a bit too soft, but overall it's ok.",OR,original review,OR
I bought 10 of them and one of the corners was broken.,OR,original review,OR
"I want more
The perfect pasta,cereal,ice cream,soup bowl ever perfect size for cereal",OR,original review.,OR
I love the Blue Air product and these filter covers are awesome!,OR,original review.,OR
Love it! Good quality and nice soft night light and noise variations,OR,original review.,OR
worked OK the one time before it fell apart and became unusable,OR,original review.,OR
Is s good strong suction vacuume. World's good an the carpet also.,OR,original review.,OR
Nice floral. no dead heading and no watering.,OR,original.,OR
The lghts work beautifully and are very bright.,OR,original review.,OR
Worked for my rum infused chocolate covered strawberries and molded chocolate hearts.,OR,original review.,OR
The shells are beautiful and just what I'm looking for.  Thanks.,OR,original review.,OR
"Good quality, great price.  A tad loose on my 15"" mattress.",OR,original review.,OR
very sturdy and a great addition to our eat in breakfast nook.,OR,original review.,OR
"Classic, sturdy and functional.  Perfect for keeping honey at room temperature.",OR,original review.,OR
"Wonderful!!!!! Great size, throw them in the dishwasher - these area GREAT!!!!!",OR,computer-generated review,CG
This one came to me broken!! The handle was a broken piece!,OR,original.,OR
"Sturdy,  holds all my Camis and makes them easy to access.",OR,original,OR
Beautiful shower curtain. Just what I wanted. Looks good in my bathroom.,CG,original review.,OR
I have used these containers for a couple of weeks and I really love them. I have one in,CG,original,OR
Love the way the top holds the suction cups. I also love that the suction cups are,CG,original review.,OR
"Love the candles...have ordered more...also, have had the candles burn for a couple of weeks",CG,original review,OR
"Used as a white elephant, it's just too thin for my liking.",CG,original,OR
My daughters loves it!  We have had it for a few months now and it's been great,CG,original,OR
"For a single cup of coffee, you can feel the coffee taste fresher, the coffee tastes lighter",CG,original review.,OR
Not what I expected my old ones to be. I will keep them for the future.,CG,original review.,OR
unpacked and used as soon as it arrived.  I was a little surprised how well this one,CG,original.,OR
"Very flimsy for blackout curtains. Not an easy task to put together. Also, the dimensions are",CG,original review.,OR
"A standard christmas present for a friend, she loves it.

The only reason I gave",CG,original review.,OR
"Looks fantastic in my guest room. The only problem is that it's not really a vacuum, but",CG,original review,OR
So easy to put up!  I love the look and feel of this pillow.,CG,original review.,OR
I absolutely love it.  We have had it for a few months now and it's been great,CG,original review,OR
"Fits my 32 oz. Ozark, and I love the fact that it comes with a small",CG,original,OR
Such an amazing product and looks amazing in the kitchen. I will definitely buy again!Very pretty.,CG,original review.,OR
Perfect size for eggs for a couple of reasons.  I need a lot of egg whites and they,CG,original review.,OR
"Great straws - very durable and will last a long time.

The only reason I gave",CG,original review.,OR
Does the job but thinner than a professional blender?  I will say that it's a pretty good,CG,original,OR
Nicely made.  Great for keeping an open space on a shelf.  Very well made.,CG,original review,OR
Fits well and seems to last a long time. Very good quality.,CG,original review,OR
"I love this, perfect for what I need.  I've had mine for a couple of years",CG,original review.,OR
"they look pretty, will see some wear and tear on them but overall they are just the right size",CG,original review.,OR
Excellent product - my second. I love the look and feel of this pillow.,CG,original review.,OR
so ergonomically correct are these.  The only problem is that they are not really the same,CG,original.,OR
"Mom loves it and is perfect for the summer.Very good quality.Nice, sturdy, and sturdy",CG,original review.,OR
Tiny spatulas. Unless you are using a professional spatula you will need to make sure the,CG,original.,OR
"Purchased for my 10-year-old daughter, who has arthritis in her hands. ",CG,original,OR
"Easy to set up, sturdy, and easy to clean. I will be purchasing more!Very pretty",CG,original review.,OR
"Still a good product after reading a few reviews.Very good quality.Nice, sturdy, and functional",CG,original,OR
I use these bags to store containers and they are very thick and sturdy. They are very easy to,CG,original review.,OR
I thought this would be a good addition to my kitchen.  I also have a large kitchen.,CG,original review.,OR
"Complements different color schemes, that are more vibrant and more comfortable.",CG,original review.,OR
"Softer than my more expensive, more expensive, more expensive model, I'm just not sure how",CG,original,OR
I put the bottles of wine in the freezer and they are still fresh!  I have one in,CG,original review.,OR
"Small and compact, this travel mug has the design and design of a travel mug.",CG,original,OR
Works like a charm. Item looks great and the materials are good.  I have a large one,CG,original review.,OR
Love it use it daily and it is the best. I will keep my review.Very pretty.,CG,original review.,OR
"Item exactly as described,  and it arrived with a very good seal.  The dimensions are just",CG,original review.,OR
does great on pug dog treats.  It's a good size and the lid is strong enough,CG,original,OR
Does not fit my husbands bed.  It's just too small.  I would order one.,CG,computer-generated review,CG
This is not what I wanted. The quality is just what I wanted. The dimensions are just what,CG,original.,OR
"Very comfortable and helps my wrists. The only problem is that it's not really a vacuum, but",CG,original.,OR
"Don't waste your time buying this set, they are just too thin and need to be cleaned every",CG,original review,OR
"I wish I had bought this sooner, but it is a great product for the price!  It",CG,original review.,OR
Wish these were thicker. The cute polka dots pretty much disappear after baking.,OR,original review.,OR
The hooks are great for hanging stars from my ceiling! And great price!,OR,original review.,OR
Returned and exchanged twice now. Base broken every time. Over it.,OR,computer-generated review,CG
"This knife is very sharp, be careful. Worked perfect for what i needed.",OR,original review.,OR
"Nice to travel with, taking them to Italy where ice is rather scarce.",OR,original review.,OR
If their handles were a bit thicker/stronger they will be a great product.,OR,original,OR
Do Not buy!! Quit working less than 2 months after it was purchased!!!,OR,original review.,OR
not as sturdy as i had expected. wobbles. it does the job though.,OR,original review.,OR
the blue color is much better than on picture. Good price and quality.,OR,original review.,OR
The knob from the end of the rod broke. Not good quality product.,OR,original review.,OR
They hold up my clothes. The yellow stuff doesn't rub off. Good hangars.,OR,original review.,OR
A little shorter then i expected but will try it out next christmas,OR,original,OR
"Love these sheets they are soft, cotton feel fit our king waterbed .",OR,original review.,OR
"as others mentioned - cord kinda small, and the hose is kinda stiff.",OR,original review.,OR
Got this for my daughters new place.  She seems to love it.,OR,original.,OR
These were really fun for an Alice and Wonderland themed party.,OR,original,OR
This is a beautiful table runner and looks great on my antique table.,OR,original review.,OR
"Worked as expected, good price. Not much to say about a balloon weight.",OR,original review.,OR
"Nice and easy to assemble, it serves it's purpose both functional and aesthetically",OR,original review.,OR
These are so useful and attractive.  They made my old knives obsolete.,OR,original review.,OR
Works great and less than the shark brand! wiil and have bought again,OR,original review,OR
This is exactly as advertised. Does. To get moldy.  Easy to clean.,OR,original review,OR
Nice design great speed .. It worked excellent for my home made tamales,OR,original review.,OR
"Smells good, but it was broken and the glass is  cracked bad.",OR,original review.,OR
I was sent a soap fish that looked nothing like the pictures cattie.,OR,original review.,OR
"Great product, does it's job well holding my lunch several days a week.",OR,original review.,OR
"Cute lunchbox, great for preschooler. Fits plenty of food and easy to clean.",OR,original.,OR
Nice quality. I bought this to be used with my Solo Campfire Stove.,OR,original review,OR
Can't beat this time tested design.  Easy installation... highly functional ...priced right.,OR,computer-generated review.,CG
"In terms of overall durability, they're great, but they do scratch very easily.",OR,computer-generated review,CG
"So far, so good! And no weird smell, unlike so many plastic liners.",OR,original review.,OR
Fantastic design. No debris falls out with the ends designed as they are.,OR,original.,OR
Nice size.  Fits perfectly.  Love the added organization  they provide.,OR,original review.,OR
I use this pot for most everything!  This is my second purchase.,OR,original review.,OR
Very pleased with the product. Arrived in a timely manner. Exactly as shown.,OR,original,OR
Great for the mudrooma and as a towel rack and other wonderful projects.,OR,computer-generated review.,CG
SOOOOOOO cute. I love them. Adorable. Well made and totally worth the price!!,OR,original review.,OR
I got these as a gift for my son.,OR,original review.,OR
"Hygienic and great looks, what else do you want from a toilet brush?",OR,original review.,OR
I have this on my bar for rimming salt for margaritas. Looks sleek.,OR,original review.,OR
Returned because I thought I was ordering the bed and not the trundle,OR,original review.,OR
"This clock is large, easy to read, inexpensive, and gets the job done.",OR,original review.,OR
great tool ....my knives are a sharp as when I purchased them new,OR,original review.,OR
Super cute & great price! Have it in the blue and white too!,OR,original review.,OR
"Bought as a gift for my daughter, seems to be a great buy.",OR,original review.,OR
Very good buy for the price. The only problem is that it's kind of hard to put the,CG,original.,OR
Doesn't fit queen bed. The material is too thick and thin for a queen bed.,CG,computer-generated review,CG
GREAT PRODUCT... HAVE HAD CORELLE FOR YEARS!!WONDERFUL PRODUCT!,CG,computer-generated review.,CG
"Keep cold drinks cold, hot drinks hot, cold drinks hot.

The only reason I gave",CG,original review,OR
It was as exactly decribed as it was shown on the picture.  The actual dimensions are just,CG,original review.,OR
