text,label,Response,Predicted
"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",CG,original review.,OR
"Alright for the price,but was a little disappointed with the quality of the product.",CG,original review.,OR
"Great quality, beautiful color.  We have had the same one for a few months now and love",CG,original review.,OR
I put paper in one corner of the cabinet and put a piece of paper in the other corner.,CG,original review,OR
Great stickers but a little small. The only reason I gave it 4 stars is because the one in,CG,original review.,OR
Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,CG,original review.,OR
Perfect. They do exactly what I need them to do. I will keep them for a long time,CG,original,OR
Love this movie & the time it took to finish. I will keep my review for the next time,CG,original review.,OR
"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",CG,original review.,OR
Got these for the third time.  I have a small dog and my son loves to throw them,CG,original,OR
Excellent product and a much better quality than the one you get at Walmart for $50.,CG,original review,OR
"These are just perfect, exactly what I was looking for.",OR,original,OR
Such a great purchase can't beat it for the price,OR,computer-generated review.,CG
What can you say--- cheap and it works as intended.,OR,original review.,OR
"These are so nice, sturdy, like the color choices too.",OR,original review.,OR
It is nice bowl and have had a fast shipping!,OR,original review.,OR
Great cup. Will last forever. Keeps things cool / warm.,OR,original review.,OR
"Love them, just thought they would be a bit bigger!",OR,original review,OR
Excellent quality product. Perfect for my ccozinha.,OR,original review.,OR
This fan is really pretty and I actually use it.,OR,original review.,OR
"Super rough, not soft wash cloths, more like bar towels",OR,original review.,OR
Like this little guy. Use it often. He is small.,OR,original review.,OR
Perfect size .easy to unfold. Topremoves for storage. Love this.,OR,original review.,OR
Does not do a very good job; difficult to use.,OR,original review.,OR
frame was beautifully crafted and looks great with my picture.,OR,original review.,OR
My hot cocoa is finally perfect! This product is fabulous,OR,original review.,OR
i bought this for a friend and he loves it.,OR,original review.,OR
Very soft and great quality for such a low price!,OR,original,OR
Purchased as a Christmas gift.  She will love it.,OR,original review.,OR
"accurate description, works great, came on time, i'm very happy!",OR,original review,OR
Use it in my Duvet cover. Fluffy and perfect fit!,OR,original.,OR
One of the softest blankets ever. So nice and cozy.,OR,original review.,OR
"Smells great, and the fine mist dries quickly. My favorite.",OR,original review.,OR
Exactly what I was expecting. perfect curtains for my bedroom.,OR,original review.,OR
Just what I wanted to hang my pants and skirts.,OR,original review.,OR
"It's kind of small, we were looking for something larger.",OR,original review.,OR
A little pricey for what it is.,OR,original review.,OR
works great & the charge kept up all day long,OR,original review.,OR
This is a nice quality frame at a good price,OR,original review.,OR
"Does the job, but nothing special. Not hard to install.",OR,original review.,OR
Item as described and arrived in a timely manner.,OR,original review.,OR
Bought 2 and sent one back because it didn't work,OR,original.,OR
"Made well holds all my make brushes, pencils, mascara etc.",OR,original.,OR
"sheds all over, would not buy it ever again. blanket.",OR,original review.,OR
"Works great, it's Pyrex, I'd expect nothing less from them.",OR,original review.,OR
"we like this little opener, real easy on my hands.",OR,original review.,OR
Perfect. Love everything about them. Look great in my kitchen.,OR,original review,OR
air tight and it works great glad i got it,OR,original review.,OR
Very cute and good quality fabric. Zippers worked well too.,OR,original review.,OR
These were great to send my grandkids their Halloween treats,OR,original.,OR
Save a ton by using these instead of paper towels!,OR,original review.,OR
These are so weak. They barely bring in any air.,OR,original review.,OR
"Great set of glasses!  Good quality, comfortable to handle.",OR,original.,OR
It feels cool to the touch but is super hard.,OR,original,OR
"So cute, made well my grand daughter will love this.",OR,original review.,OR
Works as expected for connecting CCTV power supply to cameras.,OR,original.,OR
