text,label,Response
This is a mini-chair! Not a real chair. It is a full chair that is comfortable,CG,Original review.
Happy with my purchase.  We have had the same mattress for a few months now and this one,CG,Original review.
Works great to keep light on. The only problem is that it's kind of hard to put the,CG,Computer-generated review
"Bought for son in college, and he loves it!Very good quality.",CG,Original
"Terrible, complete waste of money. Not a whole lot to say.",CG,Original Review.
It looks very nice in my bedroom and the materials are good.  I have a large one and,CG,Original review.
Easy to put together and looks nice and the finish is good.  I have a large one and,CG,Computer-generated review.
Just what I expected!!! Made a real difference in the quality of my kitchen!This is a pretty,CG,Original
"I'm so glad I got this set, as it is a great deal for the price! ",CG,Original review.
"Do the job, are adorable, and have the quality to make them a nice addition to the kitchen",CG,Original.
Too much work.  This is an easy way to make a smoothie that is perfect for the,CG,Original.
Just okay. Did not fit my containers well. We love this blanket.,CG,Original review.
"As far as little plastic, it's fine, but I'm not sure how well it will hold",CG,Original.
"So nice, was a gift for a friend. We love this blanket.",CG,Original review.
Skinnier than I thought. But it has the quality and design of a lot of other products,CG,Original
Very quick shipping and excellent customer service.  Great value for the money!This is a great little,CG,Computer-generated review.
"Works great, this design makes it easy to hang and it is a nice size for the size of",CG,Original review.
Perfect! Works in your oven and has the right height. I also love that it's removable and,CG,Original review
"Service was great, can't wait to try it out!Very good quality.",CG,Original Review
Arrived quickly and is the perfect size for the long haul.  I also have a large one,CG,Original review.
"CHEAP CHINA.  Not a big deal, but it is a little pricey for a",CG,Original.
Gave to Mother as a gift. The quality is good but it's not really the best one,CG,Original review.
"Great for spices but not for anything else.  Not good enough.Nice, sturdy, and functional",CG,Computer-generated review.
My car smells no different after 3 weeks.  Snake oil.,OR,Original review.
This pillow cushion is well constructed and easily washed. Very comfortable.,OR,Original review.
Haven't used the big ones but the small ones work great!,OR,Original review.
Takes out the mystery of when my meat is finished cooking,OR,Original.
Its nice to have an organizer large enough for the utensils.,OR,Original review.
Works perfectly.  Easy to put in your art and hang.,OR,Original review.
Great little rug!  I'd buy it again in different colors.,OR,Original review.
Holds some gift wrap but not longer tubes which is disappointing.,OR,Original review.
Belts never last long enough but this seems to work okay.,OR,Original review.
"Such a great price, less expensive than renting & great quality",OR,Original review.
Good for the price but doesn't soften up much after washing,OR,Original review.
I love these sheets!!!!  Goes great with my star quilts,OR,Original review.
Great mug - bigger than I thought it would be too!,OR,Original review.
I gave this as a gift and my daughter loves hers.,OR,Original review.
These are great!  Great space saver in our laundry room!,OR,Original review
Very flexible leading edge not quite as helpful under all conditions.,OR,Original review.
bottom will not stay on.....zero customer service  do not buy,OR,Computer-generated review
"Very nice, elegant glass and does improve the taste of wine.",OR,Original review.
excellent product if you are a side sleeper this is perfect,OR,Computer-generated review.
When there not in the oven they make great place mats,OR,Original review.
love it  it is so cute in my new bathroom,OR,Original review
Exactly as pictured! Sturdy and perfect for baking and cooking needs!,OR,Original review.
Top notch artistry done on this bust from grand jesters studios.,OR,Original.
Love these and I get many comments on this spoon :-),OR,Original review.
"Did not expect this table to  be this nice, Thanks",OR,Original review.
Great product. Arrived on time and matched my shower curtain perfectly.,OR,Original review.
a nice secondary vacuum for small apartments and reaching tight areas,OR,Original.
"Good size, good value for money. Looks great in my bar.",OR,Computer-generated review.
"Somewhat hard to clean, not as convenient as I had hoped.",OR,Computer-generated review.
Works Great with all my battery candles of the same brand.,OR,Original review.
Ok pillow kind of too hard and firm not very soft,OR,Original review.
"Perfection. Beyond easy to use, minimal effort, fast and perfect froth.",OR,Original review.
Love this item. I smile every time I I use it,OR,Original.
Fleece blanket is cozy warm. It was exactly what I wanted.,OR,Original review.
Noticed today top I'd bubbling up where a glass was set,OR,Original review.
Great for weighing in lbs and oz not grams. Fast shipping.,OR,Computer-generated review.
These were great. I just had to order a longer size.,OR,Original review.
Nice sticks; used these for almost every meal; good for PHO.,OR,Original review.
This is one of the best things I have ever bought,OR,Original review.
Love it but too small.  Would love in larger size,OR,Original review
"Perfect for my candy buffet, and it will certainly be multipurpose.",OR,Original review.
Works perfect. Use this for my EV cord in the garage,OR,Original review.
Do not waste your money.  It broke after one month.,OR,Original review.
"A little tacky, but on the shelf in the spare bathroom.",OR,Original
Helps cool my memory mattress a little but not a lot.,OR,Original review.
This is perfect. I wish I would have ordered it earlier.,OR,Original review
"Excellent packaging, Fast shipping , super quality for the right price.",OR,Original review.
Good mix - my favorite is still the Goloka Nag Champa,OR,Original.
Just what the bride wanted came out nice with the engraving.,OR,Original review.
"The color slightly different than I got,the website pictures looks better.",OR,Computer-generated review.
"Really great, soft and warm. I love the feel of this blanket.",CG,Original review.
"LESS THEN 1 YEAR OLD, BUT NO MORE!!  I've had mine for 2 months now",CG,Original
"It's a pint. And it's a pint, too.

It's also a pint",CG,Original review.
Perfect for what I needed. I love the look and feel of this pillow.,CG,Original
Bought this just to pick up an old mattress and it was a nice piece of equipment. ,CG,Original review.
the plastic rings either gone or destroyed the pieces.  I will keep my old ones as gifts.,CG,Original review.
"Nice just more trouble then it looks, the finish is a bit thin, not the best quality.",CG,Original
Great Seller. Item just like it.Great quality and just what I needed for my kitchen! ,CG,Original Review.
Very cute. Go with what you have. Not too big or too small.,CG,Original review
looks high end and feels nice. The only problem is that it's kind of hard to put,CG,Original.
"This mug is VERY nice.  I love the look and feel of it, and the size and",CG,Original review.
It works really well it looks great and the materials are good.  I have a large one and,CG,Original review.
Ordered this as a gift and it arrived on time. I will keep my review for the next,CG,Original
Beautiful calming light. Not sure what it is. We love this blanket.,CG,Original.
I like the clock although it has the design flaw which is that it is a little hard to read,CG,Original review.
Exactly as advertised. Better quality than the original. We love this blanket.,CG,Original review.
Perfect solution to sorting his messes and the tools. I also love that it's removable and can,CG,Original review.
"very cute item, going to go with the wide wooden legs for a nice dinner table.",CG,Original review
Beautious!  The perfect wall clock.  It's a good size and looks great in my,CG,Original review.
Just OK. Am buying a second set.I love these containers.  They work well and look,CG,Original review.
Great comforter especially when you are on the go.  I will keep my shelves in order,CG,Original review.
"It's nice, fit just right, and the quality is good.

The only reason I",CG,Original.
These are very nice mugs.  They are very long and fit nicely on my shelves. ,CG,Original review.
Easy to assemble.  Arrived on time and as described.  My husband and I have been,CG,Original.
I bought one for my daughter and it was very comfortable.  She also loves the way the bed,CG,Computer-generated review.
Wife love s it. Packed it with the pieces and it was perfect.,CG,Original review.
I love CrockPots that is perfect for the wide variety of containers.,CG,Computer-generated review.
I hang it myself and it looks nice.  I've also used it for a few hours.,CG,Original review.
"Using my second set of glasses, I thought they would be a nice addition to the kitchen. ",CG,Original.
Big mirror that fits perfectly into my cabinet.  I've also used this for a few years.,CG,Original.
Pretty good!  quite a few of the pieces are just too small.  I would recommend them,CG,Original review.
This is the second one that I have bought and it is a nice piece of equipment.,CG,Original
"Perfect size for hanging wreath, an easy to use and efficient way to make a small wreath",CG,Original review.
"I ADORE these bowls, can't wait to make the next batch of cold drinks!This is",CG,Original review.
They work great. I also use it as a measuring cup for measuring cupcakes.,CG,Original.
Nice fit in the hand.  I love the feel of the fabric.  The colors are just,CG,Original.
Great for the price!  We have had this for a few months now and have used it every,CG,Original review.
I bought these for bottling wine.  I love them.  I also like the fact that,CG,Original.
Good padding and nice quality.  I love the feel of the fabric.  I would buy again,CG,Computer-generated review
I love this popcorn machine!  I love the popcorn and I will keep my popcorn in this one,CG,Computer-generated review.
Nice but the size of the containers is a little small for a cup of tea.Very pretty.,CG,Original review.
Much easier to use Can't go wrong with this product. I will keep my review for the next,CG,Original
Great can opener that looks nice on the countertop. I will keep my opener in the drawer.,CG,Original review.
"love it, just wish the handle was more wide. Very good quality.",CG,Original review
seems to have a defective seal. The only way to fix it is to just throw the container,CG,Computer-generated review
works great. But boy do I love the fact that you can't just turn it off and off,CG,Original review.
"These are sturdy, snap into place, and are very comfortable.

The only reason I gave",CG,Original review.
"These have worked out so well. The only problem is that they are small, and the one I",CG,Original.
"Great color and feel, very soft and great price.
I would recommend it.",OR,Original review.
Very small but works if you don't have a lot of space.,OR,Original review.
Burns the hell out of my hands. Doesn't work at high temps,OR,Original review.
Works so fast. replaced the one I broke.,OR,Original review.
This shower curtain is beautiful. Nice fabric. Looks great in my bathroom.,OR,Original review.
Use it at work with our staff of 5. Holding up well.,OR,Original
Great mug! Husband says it is one of his favorites.,OR,Original
Worked out great for the small space I had in my closet!,OR,Original review.
"Was a gift, so don't know how it is. It is beautiful.",OR,Original
"This product actually works. Tried before and after use, definitely a difference.",OR,Original
Very happy with the quality of the merchandise and the speedy delivery.,OR,Original review.
"American made! Love that, now I just need the matching measuring cups",OR,Original review.
Not enough for a whole pie. Would need two or three sets.,OR,Original review.
Very impressed with the quality. Its a great size bag and durable.,OR,Original review.
Does what it is suppose to do. Hot water in a flash,OR,Original review.
"fantastic goblet, can store a lot of fluid like wine and beer!",OR,Original review.
Doesn't get warm even after sitting on it for hours.,OR,Original review.
I can't believe the low price for such quality!  Love it!,OR,Original review.
This is a reorder. Rated before whwn originally purchase.,OR,Original review.
Makes a good cup of coffee and takes any of the cups,OR,Original review.
I ordered this for my husband...he loves the set...especially the noodle strainer:),OR,Original review.
Plastic threads in the socket and the bulbs sent do not fit.,OR,Computer-generated review
Nice. haven't totally unpacked it yet. is a gift. Styrofoam all over the place.,OR,Original review.
don't last long if you pull it along but otherwise it's ok,OR,Original review.
Exactly what I was looking for.  Love that they are clear.,OR,Original
These are great toilet brush holders. Sleek design and appear well made,OR,Original review.
Excellent service; arrived quickly and as promised. This is a lovely lamp.,OR,Original review.
I loved this! Small little cookie cutter - does its job perfectly.,OR,Original
"Makes keeping track of shoes easier, up off the floor and visible.",OR,Original review.
Wonderful product.  Shipped promptly.  Ordered about ten sets a gifts.,OR,Original review.
"very slow toasting, my rye bread becomes rock hard before it's toasted.",OR,Original review.
"I do find it a bit too soft, but overall it's ok.",OR,Original review
I bought 10 of them and one of the corners was broken.,OR,Original review
"I want more
The perfect pasta,cereal,ice cream,soup bowl ever perfect size for cereal",OR,Original review.
I love the Blue Air product and these filter covers are awesome!,OR,Original review.
Love it! Good quality and nice soft night light and noise variations,OR,Original review.
worked OK the one time before it fell apart and became unusable,OR,Original review.
Is s good strong suction vacuume. World's good an the carpet also.,OR,Original review.
Nice floral. no dead heading and no watering.,OR,Original.
The lghts work beautifully and are very bright.,OR,Original review.
Worked for my rum infused chocolate covered strawberries and molded chocolate hearts.,OR,Original review.
The shells are beautiful and just what I'm looking for.  Thanks.,OR,Original review.
"Good quality, great price.  A tad loose on my 15"" mattress.",OR,Original review.
very sturdy and a great addition to our eat in breakfast nook.,OR,Original review.
"Classic, sturdy and functional.  Perfect for keeping honey at room temperature.",OR,Original review.
"Wonderful!!!!! Great size, throw them in the dishwasher - these area GREAT!!!!!",OR,Computer-generated review
This one came to me broken!! The handle was a broken piece!,OR,Original.
"Sturdy,  holds all my Camis and makes them easy to access.",OR,Original
Beautiful shower curtain. Just what I wanted. Looks good in my bathroom.,CG,Original review.
I have used these containers for a couple of weeks and I really love them. I have one in,CG,Original
Love the way the top holds the suction cups. I also love that the suction cups are,CG,Original review.
"Love the candles...have ordered more...also, have had the candles burn for a couple of weeks",CG,Original review
"Used as a white elephant, it's just too thin for my liking.",CG,Original
My daughters loves it!  We have had it for a few months now and it's been great,CG,Original
"For a single cup of coffee, you can feel the coffee taste fresher, the coffee tastes lighter",CG,Original review.
Not what I expected my old ones to be. I will keep them for the future.,CG,Original review.
unpacked and used as soon as it arrived.  I was a little surprised how well this one,CG,Original.
"Very flimsy for blackout curtains. Not an easy task to put together. Also, the dimensions are",CG,Original review.
"A standard christmas present for a friend, she loves it.

The only reason I gave",CG,Original review.
"Looks fantastic in my guest room. The only problem is that it's not really a vacuum, but",CG,Original review
So easy to put up!  I love the look and feel of this pillow.,CG,Original review.
I absolutely love it.  We have had it for a few months now and it's been great,CG,Original review
"Fits my 32 oz. Ozark, and I love the fact that it comes with a small",CG,Original
Such an amazing product and looks amazing in the kitchen. I will definitely buy again!Very pretty.,CG,Original review.
Perfect size for eggs for a couple of reasons.  I need a lot of egg whites and they,CG,Original review.
"Great straws - very durable and will last a long time.

The only reason I gave",CG,Original review.
Does the job but thinner than a professional blender?  I will say that it's a pretty good,CG,Original
Nicely made.  Great for keeping an open space on a shelf.  Very well made.,CG,Original review
Fits well and seems to last a long time. Very good quality.,CG,Original review
"I love this, perfect for what I need.  I've had mine for a couple of years",CG,Original review.
"they look pretty, will see some wear and tear on them but overall they are just the right size",CG,Original review.
Excellent product - my second. I love the look and feel of this pillow.,CG,Original review.
so ergonomically correct are these.  The only problem is that they are not really the same,CG,Original.
"Mom loves it and is perfect for the summer.Very good quality.Nice, sturdy, and sturdy",CG,Original review.
Tiny spatulas. Unless you are using a professional spatula you will need to make sure the,CG,Original.
"Purchased for my 10-year-old daughter, who has arthritis in her hands. ",CG,Original
"Easy to set up, sturdy, and easy to clean. I will be purchasing more!Very pretty",CG,Original review.
"Still a good product after reading a few reviews.Very good quality.Nice, sturdy, and functional",CG,Original
I use these bags to store containers and they are very thick and sturdy. They are very easy to,CG,Original review.
I thought this would be a good addition to my kitchen.  I also have a large kitchen.,CG,Original review.
"Complements different color schemes, that are more vibrant and more comfortable.",CG,Original review.
"Softer than my more expensive, more expensive, more expensive model, I'm just not sure how",CG,Original
I put the bottles of wine in the freezer and they are still fresh!  I have one in,CG,Original review.
"Small and compact, this travel mug has the design and design of a travel mug.",CG,Original
Works like a charm. Item looks great and the materials are good.  I have a large one,CG,Original review.
Love it use it daily and it is the best. I will keep my review.Very pretty.,CG,Original review.
"Item exactly as described,  and it arrived with a very good seal.  The dimensions are just",CG,Original review.
does great on pug dog treats.  It's a good size and the lid is strong enough,CG,Original
Does not fit my husbands bed.  It's just too small.  I would order one.,CG,Computer-generated review
This is not what I wanted. The quality is just what I wanted. The dimensions are just what,CG,Original.
"Very comfortable and helps my wrists. The only problem is that it's not really a vacuum, but",CG,Original.
"Don't waste your time buying this set, they are just too thin and need to be cleaned every",CG,Original review
"I wish I had bought this sooner, but it is a great product for the price!  It",CG,Original review.
Wish these were thicker. The cute polka dots pretty much disappear after baking.,OR,Original review.
The hooks are great for hanging stars from my ceiling! And great price!,OR,Original review.
Returned and exchanged twice now. Base broken every time. Over it.,OR,Computer-generated review
"This knife is very sharp, be careful. Worked perfect for what i needed.",OR,Original review.
"Nice to travel with, taking them to Italy where ice is rather scarce.",OR,Original review.
If their handles were a bit thicker/stronger they will be a great product.,OR,Original
Do Not buy!! Quit working less than 2 months after it was purchased!!!,OR,Original review.
not as sturdy as i had expected. wobbles. it does the job though.,OR,Original review.
the blue color is much better than on picture. Good price and quality.,OR,Original review.
The knob from the end of the rod broke. Not good quality product.,OR,Original Review.
They hold up my clothes. The yellow stuff doesn't rub off. Good hangars.,OR,Original review.
A little shorter then i expected but will try it out next christmas,OR,Original
"Love these sheets they are soft, cotton feel fit our king waterbed .",OR,Original review.
"as others mentioned - cord kinda small, and the hose is kinda stiff.",OR,Original review.
Got this for my daughters new place.  She seems to love it.,OR,Original.
These were really fun for an Alice and Wonderland themed party.,OR,Original
This is a beautiful table runner and looks great on my antique table.,OR,Original review.
"Worked as expected, good price. Not much to say about a balloon weight.",OR,Original review.
"Nice and easy to assemble, it serves it's purpose both functional and aesthetically",OR,Original review.
These are so useful and attractive.  They made my old knives obsolete.,OR,Original review.
Works great and less than the shark brand! wiil and have bought again,OR,Original review
This is exactly as advertised. Does. To get moldy.  Easy to clean.,OR,Original review
Nice design great speed .. It worked excellent for my home made tamales,OR,Original review.
"Smells good, but it was broken and the glass is  cracked bad.",OR,Original review.
I was sent a soap fish that looked nothing like the pictures cattie.,OR,Original review.
"Great product, does it's job well holding my lunch several days a week.",OR,Original review.
"Cute lunchbox, great for preschooler. Fits plenty of food and easy to clean.",OR,Original.
Nice quality. I bought this to be used with my Solo Campfire Stove.,OR,Original review
Can't beat this time tested design.  Easy installation... highly functional ...priced right.,OR,Computer-generated review.
"In terms of overall durability, they're great, but they do scratch very easily.",OR,Computer-generated review
"So far, so good! And no weird smell, unlike so many plastic liners.",OR,Original Review.
Fantastic design. No debris falls out with the ends designed as they are.,OR,Original.
Nice size.  Fits perfectly.  Love the added organization  they provide.,OR,Original review.
I use this pot for most everything!  This is my second purchase.,OR,Original review.
Very pleased with the product. Arrived in a timely manner. Exactly as shown.,OR,Original
Great for the mudrooma and as a towel rack and other wonderful projects.,OR,Computer-generated review.
SOOOOOOO cute. I love them. Adorable. Well made and totally worth the price!!,OR,Original review.
I got these as a gift for my son.,OR,Original review.
"Hygienic and great looks, what else do you want from a toilet brush?",OR,Original review.
I have this on my bar for rimming salt for margaritas. Looks sleek.,OR,Original review.
Returned because I thought I was ordering the bed and not the trundle,OR,Original review.
"This clock is large, easy to read, inexpensive, and gets the job done.",OR,Original review.
great tool ....my knives are a sharp as when I purchased them new,OR,Original review.
Super cute & great price! Have it in the blue and white too!,OR,Original review.
"Bought as a gift for my daughter, seems to be a great buy.",OR,Original review.
Very good buy for the price. The only problem is that it's kind of hard to put the,CG,Original.
Doesn't fit queen bed. The material is too thick and thin for a queen bed.,CG,Computer-generated review
GREAT PRODUCT... HAVE HAD CORELLE FOR YEARS!!WONDERFUL PRODUCT!,CG,Computer-generated review.
"Keep cold drinks cold, hot drinks hot, cold drinks hot.

The only reason I gave",CG,Original review
It was as exactly decribed as it was shown on the picture.  The actual dimensions are just,CG,Original review.
"Not only does this ottoman look nice, it's comfortable and looks nice on my countertop",CG,Original review.
"The glass is wonderful, the colors are vibrant and the design is a nice touch.",CG,Original review
I bought this as a gift for my daughter and she loved it.  It's been a great,CG,Original review.
Great Product & Service. I use it everyday.Very comfortable.  I love it!Very pretty,CG,Original Review
"These curtains weren't as wide as I expected.  I was expecting a tighter curtain, but the",CG,Original
"Easy to use. Pie edges are a little thin, but I will keep that in mind when making",CG,Original
"Totally works for me, I use it everyday. It is very easy to clean, I have",CG,Original review.
"The colors are good and look good, the materials are good, and the quality is good.",CG,Original review.
It's so amazing how it looks on the wall.  I will keep it for a long time,CG,Original review.
"These knives aren't only nice, they're also very sharp.

The blade is sharp and",CG,Original review.
I love this set! It looks great and the colors are vibrant.  I have a large collection,CG,Original review.
"Great cupcake holder. Looked nice and sturdy, but the instructions are a little misleading.",CG,Original review
My wife has been making cookies for the last two years and she's happy with the way she's,CG,Original review.
The pillow is excessively firm.  I have an older version of this pillow that is a little larger,CG,Original review.
I grow my own spices and herbs and they are just what I needed for my kitchen.,CG,Original review.
High Quality. Works well. Solid material. The only problem is that it's not really a vacuum,CG,Original
Handled heavy pans without tipping.  The only problem is that it's kind of hard to put,CG,Original.
"Look nice but is too small for my liking.Very good quality.Nice, sturdy, and functional",CG,Original Review.
Just Stunning! Clean and Modern. We have had this for a few months now and have been,CG,Original Review.
really l;ike this item.  We have had it for a few months now and it's,CG,Original review.
Perfect for my white desk. I love the look and feel of this chair.,CG,Original.
Gorgeous industrial feel. Easy to use. The only problem is that it's not really a,CG,Original.
