text,label,Response
"we like this little opener, real easy on my hands.",OR,Original Review
Perfect. Love everything about them. Look great in my kitchen.,OR,Computer-generated review
air tight and it works great glad i got it,OR,Computer-generated review
Very cute and good quality fabric. Zippers worked well too.,OR,Original Review
These were great to send my grandkids their Halloween treats,OR,Original Review
Save a ton by using these instead of paper towels!,OR,Original review.
These are so weak. They barely bring in any air.,OR,"Original review

""I was expecting something more significant and strong from this band but it's just a mediocre album."""
"Great set of glasses!  Good quality, comfortable to handle.",OR,Original review
It feels cool to the touch but is super hard.,OR,Computer-generated review
"So cute, made well my grand daughter will love this.",OR,Original Review
Works as expected for connecting CCTV power supply to cameras.,OR,Original review
