label,hotel,source,text
truthful,hyatt,TripAdvisor,"My wife and I stayed at this hotel at the end of May, 2009. She came for the weekend for a function and we extended the trip to take in the city. We got a deal on this hotel through TravelZoos. $249/night stay for $99/night plus we got the full buffet breakfast. The room was wonderful. Extremely large King size bed with expansive sitting area. We are used to smaller hotels with little room to move. The bed was extremely comfortable with lots of pillows. No wear or damage in room at all except sink tap dripped a bit (poor taps). We could have upgraded to river view for $20/night but chose not to. We enjoyed the room for what it was. 22nd floor looking south. The buffet breakfast was great. Lots to choose from and very fresh with made to order eggs, non stop coffee and juice and the servers were so eager to please. Great to have breakfast included in night stay. Might be a bit dear to pay at $22/person. It was nice to sit and relax with good breakfast, coffee and newspaper and not have to figure where to catch a morning meal. Concierge desk was most helpful in suggesting places to eat, always informative and ready to provide maps, directions, multiple suggestions and even make the reservations. Cards included to admit without paying cover charges at some jazz clubs. Location was great. Blocks from El and other transportation and easy walking distance to the parks and right on the river. If in Chicago again, would not hesitate to stay here again. A swimming pool would have been nice but we did not miss it. 
"
truthful,hilton,TripAdvisor,"Thirty years ago, we had a tiny 'room' and indifferent service. This time, the service was superb and friendly throughout, with special commendation for the waiters and waitresses at the coffee shop, the door and bell persons, and the hilton honors person at the front desk. They even lowered our price (to moderately high) when we inquired a few days before our stay. When we want to stay south of the river downtown, we will be back 
"
truthful,ambassador,Web,"When you're standing in a craptastic excuse for a shower buttnaked and cold with soap in your hair because the water from the shower head has gone from a weak spray to a dribble to nothing coming out at all, nothing in the world will ever convince you to stay here again. The worst part is that the hotel knows this is a problem (they told me that it happens to the upper floors, and I wasn't even staying on the highest floor!) as if that makes it ok. I can look past the 'rustic' decor of the room and take it for what it is - an inexpensive place to crash, but c'mon, a girl's gotta shower.
"
truthful,conrad,TripAdvisor,"My husband and I stayed here for New Years eve weekend. This is an excellent hotel in an excellent location. Hotel is very tastefully decorated and warmly welcoming. The rooms had the best electronics I've ever seen. Loved that they had a soaking tub and a spacious shower stall. The hotel restaurant seemed to be empty everytime we walked by, so we avoided it too. Ate at Joe's across the street - excellent seafood. And you can shop til you drop without going outside! Nordstroms and four story mall is attached. Lots of good 'food on the run' places in there. Loved Chicago - loved the Conrad. I will go back! 
"
truthful,palmer,TripAdvisor,"Guys trip to Chicago, scored this hotel on Priceline for $100 a night. Had a little confusion over the bed situation at first. They said they only had kings available even after I had called and requested 2 doubles. After a 30 minute ordeal at the front desk they put us in a room with 2 doubles. The room was nice, nothing specacular, a little on the small side but nice. The lobby was beautiful to look at but that's about it. Hotel is within walking distance to Soldier Field, Sears Tower, ESPN Zone, and lots of bars and restaurants. Great location that and the price we got the room for made our trip. Would definately try and stay at this hotel again. 
"
truthful,intercontinental,TripAdvisor,"If you are looking for a hotel that is truly in the best location, the Intercontinental is it--right on the Magnificent Mile, next to the Chicago River, across from the Wrigley Building. My daughter and I stayed here for a getaway, and quickly were able to get to Milennium Park, shopping, Navy Pier, great dining, exploring festivals and strolling through beautiful areas along the lakefront and Chicago River. Check-in was easy and we were treated with courtesy throughout our stay. Maria, one of the concierges, was especially helpful in finding us a unique place to eat. The room was lovely and comfortable, although our tub didn't drain well. Just a wonderful stay! 
"
truthful,james,TripAdvisor,"I found this wonderful Hotel ! The location is awesome, just minutes away from all the shopping, Restaurants and Bars you could possibly want . I was in town for an interview, so I was really nervous . I ended up suggesting the Hotel Restaurant for my interview and they took such a good care of us, they made me feel so comfortable that I was hardly nervous at all. And the place was pack! The room was superb! Really cool design . I had a room they call an apartment, and it was fantastic! The natural light you get in this room is awesome, and I am very sensitive to dark places. They have a full bar in the room , which I was able to use to entertain my friends that night. I went to the gym for a little bit of exercise and I have to say I have never seen such a extensive facility in a hotel. All the staff made me feel like I was family. They were available to me at any time, and so friendly ! I will definitely be back for another stay. 
"
truthful,allegro,TripAdvisor,"I am a fan of Kimpton Hotels, however I have never experienced top service as I did at the Hotel Allegro. Even before my visit, concierge Mark Kraemer advised us on things to see, and booked tickets in advance to Second City. We were welcomed warmly on arrival, and the bellman checked up on us as we came and went from the hotel. All the staff have a personal interest in making your stay a great experience. The hotel is next to City Hall, where I had some business. We had a large quiet room, and used room service-the meal came quickly, and included a a bonus fruit cup. Enjoyed the pasta night (20 dollars for a three course meal) at the 312 restaurant-the starter and the dessert were wonderful, the main pasta a bit too salty. And that is the only complaint I can make-from start to finish, if you want attentive service, this is the place to be. Thank you, Hotel Allegro, for a great stay. I can't wait to return. 
"
truthful,hardrock,Web,"This is a tough one to review... as the star ratings were from 1 star to 5 and had to figure out an average.... 2 is where it was. Here are my tips and props/complaints: Room: 1 Star. I had a corner suite. The room was pretty nasty actually (2703..STAY AWAY FROM IT!!!). There was a CONSTANT banging noise from above. When I first got in I thought it was the person above me bumping and grinding. After an hour, I knew even if it was someone high on speed and redbull would not be going that strong. Well, the sound continued on for 3 days. Not that I minded too much as I keep things on for white noise... but it sure would bug others. Also, there were about 10 cig burns on the carpet and sofa. In addition, it looked like someone left the iron on the sofa. Also, there is a gray furry pillow on the bed that looks like a big dead rat. I could not imagine all the DNA left on that thing either. *gags* Bathroom: Nice size but not great. The faucet was lose (really lose) and the toilet would not flush right. Service: Great. Everyone I encountered did a great job making me feel welcome. Good stuff. Food: I had meetings there, so experienced the breakfast and lunch they made. It was really good... much better than most hotels. Bar: Very cool. Good music, great service and good drinks. The scene was decent as well. Small bar, but was not cramped. So, maybe other rooms are nicer... well hell they better be. Regardless, if ONE room is like that (especially a 'suite'), I have to think others are like that as well. It is too bad though. The views are great and they actually have windows that open... big shocker for the city in general!
"
truthful,sheraton,Web,"I have traveled to Chicago many times for business, and so I have expectations of hotels based on reasonable comparisons. There was nothing dramatically wrong the Sheraton, but it was simply overpriced for the quality of the hotel. It almost looked as if an accountant walk through the hotel looking for places to cut costs. The carpets were old, there was only one bar of soap in the bathroom, towels and linens were older than I expected, the rooms were in need of some redecorating, etc. during the week I was paying $349 per night for a room, and it simply was not near the quality I expected for that price. One positive to notice that the fitness room was quite good. Plenty of aerobic machines with TVs, weights, etc. location is also quite good (perhaps the reason for the high price) with close walks to Michigan Avenue and the river. In summary, I think you can find a much nicer hotel in a much better price in downtown Chicago.
"
truthful,monaco,Web,"If you love Brick Walls and Alleyways, then this view is for you. I asked for a room facing the river, I get a room facing a Brick Wall. That really pissed me off. From all the great reviews, I was expecting better. Before I came here, I stayed in a Hyatt in NYC, and that was awesome. There was nothing about the hotel that blew me away. The wine hour was ok. I was hoping there would be something better food, but I guess that's why it's a wine hour. I ordered room service one night. There wasn't really anywhere to eat it, so I had to eat it on my bed to watch tv. This was my first time coming to Chicago, and I think it will be my last. Just thoroughly disappointed.
"
truthful,sheraton,Web,"Two main issues: (1) understaffed from the street to the front desk. Unfortunately I had to drive into the city, when I arrived there was an excessively long wait for parking. Then inside, there was a huge queue line with just one clerk working in a big city hotel. Not good (I will say friendly however) (2) I know this is a big city, but, $49 a night to park my car when I'm staying at that hotel? Really?? That's unreasonable and a bit gouging in my opinion. Again, I realize this is Chicago, but, I'm already paying a hefty price for this outdated hotel.
"
truthful,ambassador,Web,"I can see how this place must have been gorgeous at one time but they really need a makeover. 1. There was a huge gaping hole in the carpet on the bedroom floor. I kid you not. How can they have guests in a room where the carpet looks like it had been mauled by a giant earthworm? 2. The furniture was severely chipped. Ok. I dont mind chipped furniture if I am slumming it in my just-out-of-college-sister's apartment. But for 170+ a night, I want a room that does not look like it was furnished with stuff retrieved from a dumpster drive 3. The receptionist while I was checking in was super curt. I know it was late but isnt that sort of your job? Not everything was horribly bad though. The one star is for the bathroom that was super clean. I do not recommend this place at all.
"
truthful,intercontinental,Web,"Used this hotel the first time I was in Chicago. For the prices and for being classified an intercontinental...I wouldn't consider it that good. The rooms were solid. The view was ok (but so is it virtually everywhere else on Michigan Ave.) The service was ok. The prices were ridiculous for everything from wifi to well everything else. We came here for a Jewish/Hindi wedding. Appetizer was fine. Main entree was a small portion of meat with forgettable everything else. Dessert was inedible. I have been to some other expensive hotels with similar ratings but they had more or just better rooms to an extent that it would be worth it. I personally preferred the Conrad. Better prices and better service.
"
truthful,palmer,TripAdvisor,"We booked this hotel using points on our credit card. When we arrived, we were immediately greeted by a friendly face. We arrived several hours before check-in. However, they let us check-in early. They also gave us a free room upgrade. The hotel is absolutely stunning! In addition, it is off of State Street. There are many things to do - shopping, dinning, theater. It is also close to public transportation if you would like to go to the United Center or the airport. The hotel also allowed us to have a late check-out at no additional charge. The room was so dark and quiet we slept in. 
"
truthful,omni,TripAdvisor,"This hotel is the perfect location for downtown Chicago shopping. The only thing is the pool is extremely small - it is indoors, but looks much larger on the website. 
"
truthful,monaco,TripAdvisor,"This is a great hotel! From the doorman who greeted us as we arrived, to the young man at the reservation desk to the young woman serving complimentarily wine, everyone was very friendly and helpful. We were 'strangers but for a minute!' The room was extremely clean, well appointed and we had a pretty view of the Chicago River, especially enjoyed from the large window seats. Loved the purple polka-dot paper on the toilet paper roll! Hallways were large and quiet. The restaurant next door, South Water Kitchen is very nice too. The location is in walking distance of the theatres, parks, the river (take a cruise), Michigan Ave. It's ideal. The only negative is that the concierges were not nearly as friendly or inviting as the rest of the staff nor were they very helpful. For a self-sufficient traveler, you wouldn't really need their services (although it is nice) but for someone coming to Chicago for the first time, a concierge can be very helpful. I would definately stay at this hotel again and would recommend it. 
"
truthful,affinia,Web,"The hotel itself was beautiful and wonderful staff but the bottom line for me was that it was impossible to sleep through the night because the noise of the ambulance sirens continued throughout the night. For THREE consecutive nights. There was simply inadequate soundproofing - even 14 floors above the street (OK - 13 floors as there is no 13th floor). I hesitate to write this review but I rely on Trip Advisor reviews when traveling, and had I been warned about the ambulance sirens, I would have chosen to stay elsewhere. If you are a sound sleeper and noise is not an issue then it is a lovely hotel and excellent value. Conveniently located. Wonderful staff. But quiet is a key priority for me so I would not stay here again. :(
"
truthful,allegro,Web,"I stayed at the Allegro Hotel while interviewing for a position in Chicago. I read the reviews and they were mixed, but since the property was suggested by the organization (due to location), I booked a room. True to the reviews, the room was extremely small, was cold (the heater blew in cold air in -2 degree weather), and just generally uncomfortable. There was no closet so I hung my suit on the doorknob of the door of the adjoining room. The bathroom was extremely small and although tidy, not especially clean (it was dusty). The bed (which was supposed to be a queen but was really a full) was quite low and the sheets were hard. Because I arrived late, I ordered room service. There was so little space in the room that the wait staff had to approach the desk/table sideways. Although there is free wireless (a plus), I kept getting kicked out of the system and had to, no lie, reconnect on-line a record 16 times. Finally, to top it all off, the television stopped working just a little before midnight. I was only there for one evening (not even 12 hours) but that was enough for me. This is supposed to be a 4 star boutique hotel but I've stayed at better 2 star properties. On the positive side, the staff is nice and friendly, the food is reasonably good, and the lobby is really vibrant. There is a martini bar (although as I was coming in, a hotel guest was complaining about it being unsually smokey) that looked interesting. Overall though, not the best stay I've had. I won't be staying again.
"
truthful,hardrock,Web,"My wife and I just spent the Labor Day weekend in the city, choosing the Hard Rock Hotel as our pad. We've stayed at the HRH in Orlando twice and are blown away by the ambience there. It's not that way here. These may be all ticky tacky things, but they added up to us. First of all, the room. We upgraded our reservation thru the HRH website for a room with 'an Incredible view'. Well, our 9th floor view was of nothing more than the venting on top of the building next to us. That was all we could see. So there was no view. The room was muggy. We had the air turned down all the way and it never got below 74. We woke up sweaty both days. When we opened the window to get a breeze, the noise from the rooftop next to us was overbearing. The room was small and dark, but it didn't bother us that much. The bed may have been the mosr comfortable bed I ever slept in. And we even joked about stealing the pillows! We had the same issue with the honor bar as a previous poster, but they removed the charges no prob. Throughout the entire hotel, I counted a total of 3 pieces of music memorabilia. I thought it was a pretty cheesy attempt to renovate an old hotel, throw a Styx guitar on the wall, and slap a HRH emblem on the outside. The hotel itself was very clean and did not look like a renovation. The location is good, right on the south end of the mag mile, but there are 10-15 better hotels in a better location to shopping, quality eats, and Navy Pier. If you have a car, parking will cost you $38/day, which is prob normal for downtown. The hotel restaurant was a Chinese restaurant. The bar was small and trendy, and I guess the kicker to it all was that my wife tried to order a Pina Colada and they told us they didn't have a blender. WHAAT???? A HRH without a blender? Did they not know that Jimmy Buffet was in town???? Mind blowing! I would never, never, never go back here. Like I said, there are many better hotels in much better locations. I will stay at the HRH in Orlando or elsewhere again.
"
truthful,hardrock,TripAdvisor,"I stayed here August 20 through 23rd with my sixteen year old son and we thoroughly enjoyed this hotel. The price was very reasonable for a hotel located right on Michigan Avenue. The front desk and concierge service was excellent and enhanced our stay by making it easy for us to plan fun activities. The John Entwistle theme on our floor was a nice touch. Any of you single fathers out there can appreciate how difficult it can be to take a fun affordable vacation with your children and The Hard Rock Hotel in Chicago really helped me accomplish just that! 
"
truthful,hyatt,TripAdvisor,"I stayed at the Hyatt for a two nights on a business trip. My room was oddly shaped to give a stunning view of the river and NBC Building. Both the room and the bathroom were spotless and the room had an air purifier which ran silently. The hotel was well staffed with individuals who were knowledgeable about both the hotel and the surrounding area. I would not hesitate to stay here again and plan to return with my wife for a weekend. 
"
truthful,affinia,Web,"Apart from the location, great, but it stops there. Upon check-in, I was informed I would have a queen bed. I asked for a king size bed, and I was told there would be a charge for going up to a king. GIVE ME A BREAK, a surcharge for going from a queen to a king. When I got up to the room, it was like a oven. I could not get the air to work and needed to call twice before getting service. Everything in the room had a charge associated to it, even down to the coffee, $1.00. Now what's up with that? I was very disappointed in the size of the bathroom. Very small. I have stayed there twice and with so many other options, I feel this will be my last.
"
truthful,palmer,TripAdvisor,"I stayed at the Palmer House for @ $150/night on a corporate rate. The bed was excellent, the linens/towels were top of the line. I did not find my room shabby, as other reviewers noted. The Palmer House is over 130 years old. Rooms have older woodwork and classic furniture; I think that lends to the ambience of the place. It is expensive, and I'm not sure I'd stay there if my company weren't picking up the tab. But the hotel itself is still awe-inspiring. 
"
truthful,omni,TripAdvisor,"I stayed at the Omni with a Band that what in town. The room was amazing. Just walking in, the hotel was gorgeous. I have no complaints. Prompt Room service, Friendly front desk. Many shops, beautiful fountin. Just an all around great hotel in a great City. 
"
truthful,hyatt,TripAdvisor,"Named my price on priceline. $50.00 Bucks. Hotel room was great. Clean, Clean and new. Fresh crisp sheets, comfortable bed, flat screen TV, clean carpet, nice bath, etc. Short distance to food and sightseeing. I highly recommend this property. Be prepared to pay over $40.00 per night to park. Hey, Its a hyatt. They also charge $5.00 for a bottle of water that is normally a buck. For a total of $100.00 nightly stay in Chicago this place is it just don't drink the bottled water. Happy Travels 
"
truthful,james,Web,"First, several day s prior to my stay, I called and spoke at length with the concierge and made a breakfast order for room-service Saturday and Sunday. Saturday they didn't bring breakfast - and when I called room-service they stated they never got the advance order from the concierge. When they finally did bring it - they brought the wrong thing.. and then brought the wrong order again on Sunday. I was further inconvenienced by in-room dining staff when we ordered room service Saturday night. The food was limp and uninspired. Further, I ordered soup - which arrived without a spoon. When I called in-room dining to request a spoon, I was told one would be forthcoming. 15 minutes later, a waiter arrived with a menu. When I explained I already had food and I didn't need a menu - I needed a spoon, he had the audacity to argue with me. I respectfully requested he return with a spoon and he agreed to do so. Another 15 minutes (and one bowl of cold soup) later I decided to call in-room dining back to request (again) they send someone with a spoon. They too argued with me and expressed that they'd already sent someone with a spoon. I explained that they had not - that I had received a menu I didn't request, but that no spoon was forthcoming. Another 15 minutes later, a spoon finally arrived. Thanks - for charging me $100+ so that I could argue over cold, flavorless food. In addition to the gross customer service, surly attitude, and sorry food, I found the room woefully lacking. It reeked exhaust fumes so much so that on Saturday night I woke up from the smell. Further, I had specifically requested when I booked the reservation that you keep me away from the elevators... I was right next to the elevators and had the displeasure of listening to them ding all night long as other guests came and went.
"
truthful,amalfi,TripAdvisor,"This hotel was wonderful! I am a college student who went with my mom for the weekend and we both liked it! Pros: THE FRONT DESK and THE STAFF!!! -Helpful: Knew great places to eat and HOW to get there Breakfast: Pastries, coffee, tea, muffins, etc: Fresh Drinks + hors d'oeuvres: Yummy!! Rooms -Clean -Well decorated Lots of people of different ages stayed there Cons: Very very very far from the museums 
"
truthful,intercontinental,Web,"Good location and looks like a good property but did not seem to be managed well. Front desk staff was inattentive to customers and slow. Nice large suite for a room but plumbing fixtures were in disrepair (housekeeping staff could/should have reported each day) - partially clogged shower head, dripping sink, etc. Clean and OK, but neglected - we expected more from an Intercontinental Hotel. Many hotels to choose from in this area of Chicago - can get more for the price from almost any other.
"
truthful,amalfi,Web,"We were checked into a room with empty beer bottles,dirty shorts in the closet and an unclean bathroom. There was no manager available for an hour to take any complaints. The front desk lady said the manager was on a LUNCH break at 7 PM!!!!!!! We missed our show at Navy Pier because of the extra time it took in moving into another room etc. Finally when I got to talk to the manager and complained about beer bottles she offered to send me wine and cheese to make up for the inconvenience!!! This was totally inappropiate since I had children including a teenager with me. She gave me a $30 compensation for ruining our family holiday!!!! Staff was somewhat reluctant to take request of extra blankets at night. They kept telling me to look into the closet for extra blankets. I asked for two blanket, but they delivered one. I had to keep calling to get settled for the night. I saw a filled out comment form from the prior guest in our room on the study desk, who had taken the trouble of filling it out, but no one collected it or cared for it. Noisy rooms. Can hear the doors open and close all night. The breakfast items kept running out and had to make calls to get them replenished. I will not recommend this hotel to any one even at discounted rates!!
"
truthful,knickerbocker,TripAdvisor,"We were greeted by staff with excellent customer service skills. Our room was such a pleasant surprise, from the flat screen TV, the full size shower with rain showerhead & hand held shower wand, the wall attached toilet with flushing options (on the wall), the comfortable bed, the lovely lighting options, etc.. The size of the room was snug, and very comfortable, as would be, in a historic hotel. It was also quiet, and I know that the hotel was sold out. My sister was in the room next door. We did not hear her TV. We also loved walking less than a block, to the shopping and restaurants on North Michigan Avenue. 
"
truthful,monaco,TripAdvisor,"Having had a great stay at the Monaco last Fall with friends, I was disappointed (initially) to arrive on Saturday with husband and find that they didn't have our Quikbook made reservation in their system and they had no rooms available for Sat. eve. BUT they immediately took responsibility for their mistake by doing the following: found us a nice room at the neighboring Swissotel and paid for it! Gave us cab fare to get the 4 blocks over there. Paid for our valet parking $33 that eve. So naturally when they asked if we were interested in returning for Sunday eve (when they did have room), we said yes. When we returned, they gave us a corner suite with jacuzzi tub for our $139 quikbook rate! Now that's what I call a recovery!! 
"
truthful,talbott,TripAdvisor,"My girlfriends and I stayed 4 nights at the Talbott returning home on Saturday 9/29. We all had a wonderful time and thoroughly enjoyed the hotel. The staff from top to bottom were excellent, accommodating. The room was roomy...with our only complaint being not being able to cool the room fast enough after a day on the town. The construction next door was obstructing the sidewalk, but being on a oneway street limited that difficulty. The doorman, Andrew was an excellent source at this hotel. He arranged all our transportation at night to restaurants. We enjoyed everything about the hotel and the city. The hotel was expensive but met expectations. 
"
truthful,palmer,TripAdvisor,"My wife and I spent several nights here on a getaway excursion. I didn't choose it -- Priceline gave it to me for $70. If I'd paid the book rate, $175, I'd have been less pleased. No troubles with checkin. Very small room but bed was clean and comfortable. Starbucks in the lobby was a godsend. I'd read horror stories about the staff but they seemed friendly enough. For $70, it's a steal. For its online face value, not so much. Will definitely return if can get similar price. 
"
truthful,affinia,Web,"I'd been searching for a cool, non-chain hotel for a weekend getaway with my boyfriend. I thought I'd found a winner in the Affinia... SOO disappointed!! In spite of the fact that our reservation was for two adults, we arrived to find our room had a DOUBLE bed. What?! I was floored, but after a delayed flight and a 2 hour cab ride, was too tired to make a fuss. We were hungry after all the delays and planned on attending an event that night, so we called for room service hoping to keep it simple. I was told that room service would call ME back to take my order...and nothing happened. I didn't want to be late to our event so we ended up going to the restaurant downstairs. Nothing special; entree, dessert and NAB for two still came out to $*...I am no hayseed, I'm WELL aware that everything costs more in Chicago, but this just wasn't worth it. Our room was by the elevator w/ parking garage view...the bathroom was tiny, shower curtain was stained, funky toilet seat/lid, and the vanity featured that 'rude awakening' lighting normally found in low-rent dressing rooms, i.e., 'Holy crap, have I looked that bad this whole time?!' If you're a traveler who likes using the in-room coffeemaker, they charge for their chintzy coffees (I don't use these, but... come on). Nice enough ambience in the upstairs bar, but weak drinks... That night, our bed was so tiny and uncomfortable that I almost asked to switch rooms. But the Marathon was that weekend; the hotel was so busy I didn't want to be a pest. I can't believe I was so impressed with this place online. Next time I'll happily pay more to stay someplace that's actually a treat.
"
